scientific_name,alias,source,notes
Chordeiles pusillus,Nannochordeiles pusillus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chroicocephalus philadelphia,Larus philadelphia,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Circaetus spectabilis,Dryotriorchis spectabilis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Cnemoscopus rubrirostris,Cnemoscopus chrysogaster,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Coccycua cinerea,Micrococcyx cinereus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Coccycua pumila,Micrococcyx pumilus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Coggerdonia adelaidensis,Litoria adelaidensis,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Colluricincla megarhyncha,Colluricincla affinis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Colluricincla megarhyncha,Colluricincla discolor,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Colluricincla megarhyncha,Colluricincla fortis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Colluricincla megarhyncha,Colluricincla obscura,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Colluricincla megarhyncha,Colluricincla rufogaster,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Colluricincla megarhyncha,Colluricincla tappenbecki,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Coloeus dauuricus,Corvus dauuricus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Coloeus monedula,Corvus monedula,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Conocephalus fasciatus,Conocephalus vicinus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Conocephalus fuscus,Conocephalus discolor,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Corvinella corvina,Lanius corvinus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Curruca cantillans,Sylvia cantillans,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Curruca melanocephala,Sylvia melanocephala,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Curruca ruppeli,Sylvia rueppelli,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Curruca subalpina,Sylvia subalpina,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Curruca subcoerulea,Sylvia subcaerulea,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Dendrocoptes medius,Dendrocopos medius,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Dendropsophus molitor,Dendropsophus labialis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Diphyllodes magnificus,Cicinnurus magnificus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Diphyllodes respublica,Cicinnurus respublica,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Driophlox atrimaxillaris,Habia atrimaxillaris,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Driophlox cristata,Habia cristata,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Driophlox fuscicauda,Habia fuscicauda,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Driophlox gutturalis,Habia gutturalis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Dryobates cathpharius,Dendrocopos cathpharius,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Dryobates minor,Dendrocopos minor,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Dryophytes andersonii,Hyla andersonii,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes arenicolor,Hyla arenicolor,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes avivoca,Hyla avivoca,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes chrysoscelis,Hyla chrysoscelis,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes cinereus,Hyla cinerea,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes eximius,Hyla eximia,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes femoralis,Hyla femoralis,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes gratiosus,Hyla gratiosa,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes immaculatus,Hyla suweonensis,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes japonicus,Hyla japonica,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Dryophytes squirellus,Hyla squirella,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
